Top 5 words(According to frequency)

word,frequency
the,1067
of,779
and,670
English,550
in,485

All words and frequency

word,frequency
the,1067
of,779
and,670
English,550
in,485
a,357
is,258
as,251
to,240
from,187
are,163
The,162
with,148
or,146
language,137
on,135
pp.,117
p.,116
ISBN,116
&,114
In,109
by,108
be,106
Retrieved,106
2015.,103
that,102
for,97
original,85
Archived,83
an,72
may,72
University,71
has,70
Press.,68
such,67
"English,",65
Old,61
have,61
words,61
February,61
most,60
Cambridge,60
other,58
which,56
American,55
used,54
example,53
also,51
was,51
this,50
it,49
use,49
but,47
6,47
many,45
verb,44
more,43
languages,43
speakers,43
not,42
Germanic,40
A,40
(2006).,40
into,39
between,38
"2006,",38
(ed.).,38
at,36
can,36
An,36
yes,36
countries,35
dialects,35
than,35
some,35
English.,35
word,35
vowel,35
–,35
Modern,34
spoken,34
Language,33
where,33
native,33
they,33
varieties,32
British,32
See,31
United,31
New,31
form,31
often,31
media,29
available,29
August,29
"2002,",29
Encyclopedia,28
its,28
verbs,28
standard,28
case,28
required,28
April,28
(Subscription,28
Main,27
first,27
vowels,27
only,27
2020.,27
via,27
ScienceDirect,27
content,27
libraries.),27
one,26
Keith,26
official,25
noun,25
Language.,25
"Brown,",25
linguistics.,25
Elsevier.,25
978-0-08-044299-0.,25
History,24
"language,",24
their,24
auxiliary,24
International,24
Huddleston,24
Trudgill,24
international,23
vocabulary,23
South,23
Pullum,23
M.,23
(eds.).,23
were,22
person,22
been,22
Problems,22
December,22
forms,21
through,21
main,21
pronounced,21
RP,21
Speech,21
playing,21
file?,21
help.,21
Richard,21
Middle,20
For,20
second,20
around,20
pronouns,20
"example,",20
2006.,20
influence,19
written,19
subject,19
March,19
ed.).,19
North,18
both,18
dialect,18
when,18
singular,18
Zealand,17
world,17
you,17
article:,17
all,17
England,17
had,17
I,17
2,17
November,17
accents,16
Latin,16
there,16
"languages,",16
number,16
these,16
order,16
Oxford,16
World,16
accent,16
African,16
September,16
"""Chapter",16
include,15
including,15
do,15
Some,15
nouns,15
plural,15
pronunciation,15
spelling,15
new,15
(e.g.,15
Crystal,15
24,15
Southern,15
Australian,15
Hannah,15
This,14
who,14
It,14
French,14
developed,14
Norse,14
spread,14
Northern,14
different,14
each,14
grammatical,14
sentence,14
David,14
2010.,14
Statistics,14
widely,13
being,13
any,13
known,13
letters,13
still,13
up,13
English:,13
no,13
local,13
phrase,13
inflected,13
clauses,13
25,13
16,13
(PDF).,13
(PDF),13
"Hogg,",13
system,12
English-speaking,12
Early,12
third,12
over,12
grammar,12
long,12
language.,12
consonant,12
found,12
foreign,12
Ireland,12
"""English",12
variation,12
like,12
syllable,12
adjectives,12
man,12
object,12
clause,12
Vol.,12
Phonology,11
West,11
after,11
There,11
people,11
two,11
called,11
regional,11
among,11
about,11
linguistic,11
Norman,11
so,11
features,11
become,11
inflectional,11
using,11
John,11
pronoun,11
Many,11
Dictionary,11
end,11
General,11
